,ds,y
389,2024-01-30,10741
390,2024-01-31,10850
391,2024-02-01,8861
392,2024-02-02,9358
393,2024-02-03,12476
394,2024-02-04,14678
395,2024-02-05,10727
396,2024-02-06,13524
397,2024-02-07,9405
398,2024-02-08,9515
399,2024-02-09,9060
400,2024-02-10,12963
401,2024-02-11,9768
402,2024-02-12,2446
403,2024-02-13,12658
404,2024-02-14,11620
405,2024-02-15,12919
406,2024-02-16,10668
407,2024-02-17,12810
408,2024-02-18,12140
409,2024-02-19,12502
410,2024-02-20,12239
411,2024-02-21,11473
412,2024-02-22,10840
413,2024-02-23,11545
414,2024-02-24,9827
415,2024-02-25,11125
416,2024-02-26,13103
417,2024-02-27,12197
418,2024-02-28,13504
419,2024-02-29,10792
420,2024-03-01,7614
421,2024-03-02,9273
422,2024-03-03,12136
423,2024-03-04,14083
424,2024-03-05,7737
425,2024-03-06,5517
426,2024-03-07,10165
427,2024-03-08,8630
428,2024-03-09,8873
429,2024-03-10,8792
430,2024-03-11,10478
431,2024-03-12,4511
432,2024-03-13,10958
433,2024-03-14,10438
434,2024-03-15,9084
435,2024-03-16,9077
436,2024-03-17,11033
437,2024-03-18,11612
438,2024-03-19,11630
439,2024-03-20,11147
440,2024-03-21,11697
441,2024-03-22,10202
442,2024-03-23,11881
443,2024-03-24,11926
444,2024-03-25,8089
445,2024-03-26,11606
446,2024-03-27,15521
447,2024-03-28,14310
448,2024-03-29,14003
449,2024-03-30,14904
450,2024-03-31,15359
451,2024-04-01,5375
452,2024-04-02,10861
453,2024-04-03,12282
454,2024-04-04,15099
455,2024-04-05,14314
456,2024-04-06,10555
457,2024-04-07,8779
458,2024-04-08,11624
459,2024-04-09,10080
460,2024-04-10,8745
461,2024-04-11,9629
462,2024-04-12,8266
463,2024-04-13,14008
464,2024-04-14,13907
465,2024-04-15,14275
466,2024-04-16,14204
467,2024-04-17,11595
468,2024-04-18,10996
469,2024-04-19,9173
470,2024-04-20,9565
471,2024-04-21,12102
472,2024-04-22,12038
473,2024-04-23,13729
474,2024-04-24,13038
475,2024-04-25,10951
476,2024-04-26,12837
477,2024-04-27,12576
478,2024-04-28,13346
479,2024-04-29,13222
480,2024-04-30,13043
481,2024-05-01,7727
482,2024-05-02,11214
483,2024-05-03,12864
484,2024-05-04,14259
485,2024-05-05,14687
486,2024-05-06,9682
487,2024-05-07,10627
488,2024-05-08,10944
489,2024-05-09,9282
490,2024-05-10,10211
491,2024-05-11,10009
492,2024-05-12,7873
493,2024-05-13,11067
494,2024-05-14,9756
495,2024-05-15,10345
496,2024-05-16,9046
497,2024-05-17,7188
498,2024-05-18,9361
499,2024-05-19,7539
500,2024-05-20,8709
501,2024-05-21,9904
502,2024-05-22,12004
